Date,Price,Open,High,Low,Vol.,Change %
"Jun 19, 2020","11,807","11,501","12,001","11,501",7.43M,2.76%
"Jun 18, 2020","11,490","11,640","11,844","11,289",7.99M,-1.37%
"Jun 17, 2020","11,650","11,495","11,769","10,917",3.47M,2.04%
"Jun 15, 2020","11,417","11,800","11,815","11,281",3.98M,-5.20%
"Jun 12, 2020","12,043","11,530","12,178","11,307",4.05M,1.65%
"Jun 11, 2020","11,848","11,700","12,344","11,515",5.33M,-1.27%
"Jun 10, 2020","12,000","13,411","13,465","11,900",5.12M,-10.52%
"Jun 09, 2020","13,411","13,300","13,496","12,834",3.91M,3.30%
"Jun 08, 2020","12,983","13,295","13,295","12,751",2.84M,0.64%
"Jun 05, 2020","12,900","12,375","13,316","12,351",4.66M,3.31%
"Jun 04, 2020","12,487","12,623","12,923","12,116",5.24M,-0.66%
"Jun 03, 2020","12,570","12,600","12,793","12,228",5.75M,-2.18%
"Jun 02, 2020","12,850","12,244","13,284","12,061",4.55M,6.89%
"Jun 01, 2020","12,022","12,000","12,403","11,687",2.97M,2.68%
"May 29, 2020","11,708","11,585","12,358","11,480",7.73M,-3.12%
"May 28, 2020","12,085","11,150","12,085","10,969",4.79M,10.80%
"May 27, 2020","10,907","11,000","11,300","10,662",4.88M,-2.31%
"May 26, 2020","11,165","11,500","11,597","10,959",3.83M,-2.49%
"May 25, 2020","11,450","11,340","11,737","11,160",1.99M,1.00%
"May 22, 2020","11,337","11,396","11,827","10,920",4.99M,-4.86%
"May 21, 2020","11,916","12,280","12,349","11,849",3.93M,-3.90%
"May 20, 2020","12,399","12,720","13,067","12,142",4.85M,-2.02%
"May 19, 2020","12,655","12,190","12,788","11,900",5.05M,4.85%
"May 18, 2020","12,070","11,401","12,377","11,220",4.73M,9.46%
"May 15, 2020","11,027","10,220","11,212","10,220",5.44M,9.85%
"May 14, 2020","10,038","10,420","10,633","9,722",6.18M,-4.35%
"May 13, 2020","10,495","10,705","11,106","10,464",4.17M,-3.31%
"May 12, 2020","10,854","10,398","11,000","10,062",4.05M,7.87%
"May 11, 2020","10,062","10,949","10,949","10,043",2.70M,-7.12%
"May 08, 2020","10,833","10,900","11,118","10,343",3.98M,3.17%
"May 07, 2020","10,500","10,353","10,596","10,134",4.33M,-0.41%
"May 06, 2020","10,543","10,660","10,679","9,991",5.72M,2.37%
"May 05, 2020","10,299","10,610","11,046","10,299",3.50M,-2.84%
"May 04, 2020","10,600","10,800","11,135","10,155",5.78M,-5.53%
"Apr 30, 2020","11,220","11,400","11,696","11,156",5.10M,-1.54%
"Apr 29, 2020","11,396","10,235","11,500","10,235",4.07M,12.43%
"Apr 28, 2020","10,136","10,995","10,995","9,900",5.81M,-7.91%
"Apr 24, 2020","11,007","11,050","11,172","10,467",5.91M,1.25%
"Apr 23, 2020","10,871","10,400","11,259","10,340",4.20M,7.38%
"Apr 22, 2020","10,124","9,950","10,133","9,422",6.07M,3.96%
"Apr 21, 2020","9,738","11,100","11,235","9,654",5.99M,-13.60%
"Apr 20, 2020","11,271","11,189","11,288","10,626",2.83M,4.36%
"Apr 17, 2020","10,800","11,200","11,337","10,424",4.17M,0.65%
"Apr 16, 2020","10,730","11,630","12,174","10,422",5.99M,-7.64%
"Apr 15, 2020","11,618","12,440","12,440","11,489",7.51M,-7.37%
"Apr 14, 2020","12,542","10,625","12,589","10,580",7.45M,20.95%
"Apr 09, 2020","10,370","10,200","10,595","9,671",8.22M,8.08%
"Apr 08, 2020","9,595","9,899","9,899","8,911",8.89M,-4.03%
"Apr 07, 2020","9,998","8,960","10,157","8,913",6.90M,14.92%
"Apr 06, 2020","8,700","8,000","8,799","8,000",4.31M,11.54%
"Apr 03, 2020","7,800","7,580","7,995","7,329",5.37M,1.39%
"Apr 02, 2020","7,693","7,151","7,693","7,151",4.16M,9.90%
"Apr 01, 2020","7,000","7,449","7,833","6,974",5.24M,-7.58%
"Mar 31, 2020","7,574","7,650","8,103","6,872",8.74M,0.20%
"Mar 30, 2020","7,559","7,490","8,250","7,305",6.51M,-0.22%
"Mar 27, 2020","7,576","8,000","8,765","7,336",7.71M,-6.26%
"Mar 26, 2020","8,082","8,273","8,945","7,921",11.47M,2.93%
"Mar 25, 2020","7,852","7,075","8,378","6,827",10.71M,17.44%
"Mar 24, 2020","6,686","5,800","6,992","5,345",12.75M,20.47%
"Mar 23, 2020","5,550","5,590","5,750","5,005",10.21M,-6.64%
"Mar 20, 2020","5,945","6,389","6,389","5,366",13.75M,3.28%
"Mar 19, 2020","5,756","5,700","6,379","5,184",16.90M,-0.07%
"Mar 18, 2020","5,760","7,370","7,499","4,476",19.10M,-23.93%
"Mar 17, 2020","7,572","8,877","8,878","7,349",14.86M,-6.17%
"Mar 16, 2020","8,070","9,700","9,789","6,800",14.07M,-18.71%
"Mar 13, 2020","9,927","9,700","10,498","9,670",10.06M,3.13%
